Title,Year,Runtime,Rating,Votes
Capernaum,2018,2h 6m,8.4,(125K)
Singin' in the Rain,1952,1h 43m,8.3,(284K)
Once Upon a Time in America,1984,3h 49m,8.3,(410K)
Joker,2019,2h 2m,8.3,(1.7M)
Toy Story 3,2010,1h 43m,8.3,(980K)
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3,(1.2M)
Come and See,1985,2h 22m,8.3,(125K)
Requiem for a Dream,2000,1h 42m,8.3,(978K)
Ikiru,1952,2h 23m,8.3,(103K)
The Hunt,2012,1h 55m,8.3,(413K)
Incendies,2010,2h 11m,8.3,(254K)
Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3,(1.2M)
The Apartment,1960,2h 5m,8.3,(221K)
Lawrence of Arabia,1962,3h 47m,8.3,(343K)
Heat,1995,2h 50m,8.3,(810K)
Scarface,1983,2h 50m,8.3,(1M)
Reservoir Dogs,1992,1h 39m,8.2,(1.2M)
2001: A Space Odyssey,1968,2h 29m,8.3,(787K)
Up,2009,1h 36m,8.3,(1.2M)
Double Indemnity,1944,1h 47m,8.3,(182K)
Like Stars on Earth,2007,2h 42m,8.3,(234K)
North by Northwest,1959,2h 16m,8.3,(370K)
Full Metal Jacket,1987,1h 56m,8.2,(854K)
M,1931,1h 39m,8.3,(183K)
A Separation,2011,2h 3m,8.3,(279K)
Amélie,2001,2h 2m,8.2,(843K)
Vertigo,1958,2h 8m,8.2,(460K)
Citizen Kane,1941,1h 59m,8.2,(494K)
Die Hard,1988,2h 12m,8.2,(1M)
To Kill a Mockingbird,1962,2h 9m,8.2,(352K)
Indiana Jones and the Last Crusade,1989,2h 7m,8.2,(866K)
I Swear,2025,2h,8.4,(53K)
The Sting,1973,2h 9m,8.2,(303K)
Attack on Titan: The Last Attack,2024,2h 25m,9.0,(32K)
A Clockwork Orange,1971,2h 16m,8.2,(939K)
Metropolis,1927,2h 30m,8.2,(202K)
1917,2019,1h 59m,8.2,(777K)
Snatch,2000,1h 42m,8.2,(980K)
The Wolf of Wall Street,2013,3h,8.2,(1.8M)
The Truman Show,1998,1h 43m,8.2,(1.4M)
Downfall,2004,2h 36m,8.2,(402K)
L.A. Confidential,1997,2h 18m,8.2,(660K)
Dangal,2016,2h 41m,8.3,(245K)
Shutter Island,2010,2h 18m,8.2,(1.7M)
Green Book,2018,2h 10m,8.2,(693K)
Bicycle Thieves,1948,1h 29m,8.2,(192K)
Oppenheimer,2023,3h,8.2,(1.1M)
Judgment at Nuremberg,1961,2h 59m,8.3,(97K)
Batman Begins,2005,2h 20m,8.2,(1.7M)
Jurassic Park,1993,2h 7m,8.2,(1.2M)
For a Few Dollars More,1965,2h 12m,8.2,(301K)
Hamilton,2020,2h 40m,8.3,(141K)
Taxi Driver,1976,1h 54m,8.2,(1M)
Some Like It Hot,1959,2h 1m,8.2,(306K)
There Will Be Blood,2007,2h 38m,8.2,(713K)
The Father,2020,1h 37m,8.2,(247K)
The Kid,1921,1h 8m,8.2,(146K)
All About Eve,1950,2h 18m,8.2,(150K)
The Sixth Sense,1999,1h 47m,8.2,(1.2M)
Ran,1985,2h 40m,8.2,(153K)
Project Hail Mary,2026,2h 36m,8.2,(423K)
Casino,1995,2h 58m,8.2,(623K)
The Thing,1982,1h 49m,8.2,(530K)
No Country for Old Men,2007,2h 2m,8.2,(1.2M)
Prisoners,2013,2h 33m,8.2,(944K)
Top Gun: Maverick,2022,2h 10m,8.2,(891K)
Kill Bill: Vol. 1,2003,1h 51m,8.2,(1.3M)
Pan's Labyrinth,2006,1h 58m,8.2,(749K)
Unforgiven,1992,2h 10m,8.2,(470K)
A Beautiful Mind,2001,2h 15m,8.2,(1.1M)
Howl's Moving Castle,2004,1h 59m,8.2,(516K)
The Treasure of the Sierra Madre,1948,2h 6m,8.2,(142K)
Finding Nemo,2003,1h 40m,8.2,(1.2M)
Klaus,2019,1h 36m,8.2,(239K)
Yojimbo,1961,1h 50m,8.2,(144K)
The Elephant Man,1980,2h 4m,8.2,(282K)
Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,2h 35m,8.4,(75K)
The Great Escape,1963,2h 52m,8.2,(278K)
Monty Python and the Holy Grail,1975,1h 31m,8.1,(605K)
Dial M for Murder,1954,1h 45m,8.1,(206K)
The Secret in Their Eyes,2009,2h 9m,8.2,(244K)
Gone with the Wind,1939,3h 58m,8.2,(357K)
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,(651K)
Chinatown,1974,2h 10m,8.1,(378K)
The Best of Youth,2003,6h 14m,8.4,(28K)
Catch Me If You Can,2002,2h 21m,8.1,(1.2M)
V for Vendetta,2005,2h 12m,8.1,(1.3M)
Inside Out,2015,1h 35m,8.1,(923K)
Trainspotting,1996,1h 33m,8.1,(770K)
Dead Poets Society,1989,2h 8m,8.1,(659K)
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,(611K)
Rashomon,1950,1h 28m,8.1,(197K)
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,(1.1M)
The Bridge on the River Kwai,1957,2h 41m,8.1,(249K)
The Wild Robot,2024,1h 42m,8.2,(230K)
Barry Lyndon,1975,3h 5m,8.1,(206K)
Ben-Hur,1959,3h 32m,8.1,(272K)
Warrior,2011,2h 20m,8.1,(531K)
Fargo,1996,1h 38m,8.1,(790K)
Hacksaw Ridge,2016,2h 19m,8.1,(687K)
Mad Max: Fury Road,2015,2h,8.1,(1.2M)
Million Dollar Baby,2004,2h 12m,8.1,(769K)
Children of Heaven,1997,1h 29m,8.2,(91K)
Ratatouille,2007,1h 51m,8.1,(953K)
My Neighbor Totoro,1988,1h 26m,8.1,(435K)
Raging Bull,1980,2h 9m,8.1,(411K)
Gran Torino,2008,1h 56m,8.1,(865K)
12 Years a Slave,2013,2h 14m,8.1,(790K)
The Grand Budapest Hotel,2014,1h 39m,8.1,(978K)
Memories of Murder,2003,2h 11m,8.1,(270K)
How to Train Your Dragon,2010,1h 38m,8.1,(900K)
Before Sunrise,1995,1h 41m,8.1,(381K)
Blade Runner,1982,1h 57m,8.1,(885K)
"Monsters, Inc.",2001,1h 32m,8.1,(1.1M)
Gone Girl,2014,2h 29m,8.1,(1.2M)
Spider-Man: No Way Home,2021,2h 28m,8.1,(1M)
Jaws,1975,2h 4m,8.1,(743K)
Ford v Ferrari,2019,2h 32m,8.1,(577K)
In the Name of the Father,1993,2h 13m,8.1,(204K)
Wild Tales,2014,2h 2m,8.1,(240K)
The Gold Rush,1925,1h 35m,8.1,(129K)
Sherlock Jr.,1924,45m,8.1,(66K)
Mary and Max,2009,1h 32m,8.1,(202K)
Chainsaw Man - The Movie: Reze Arc,2025,1h 40m,8.3,(62K)
The Deer Hunter,1978,3h 3m,8.1,(387K)
The Wages of Fear,1953,2h 36m,8.1,(74K)
A Silent Voice: The Movie,2016,2h 10m,8.2,(146K)
The General,1926,1h 18m,8.1,(105K)
Logan,2017,2h 17m,8.1,(931K)
Rocky,1976,2h,8.1,(694K)
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,(1.3M)
The Chaos Class Failed the Class,1975,1h 35m,8.4,(31K)
Mr. Smith Goes to Washington,1939,2h 9m,8.1,(130K)
Tokyo Story,1953,2h 17m,8.1,(78K)
La haine,1995,1h 38m,8.1,(229K)
Spotlight,2015,2h 9m,8.1,(537K)
Jai Bhim,2021,2h 44m,8.6,(235K)
On the Waterfront,1954,1h 48m,8.1,(179K)
The Sound of Music,1965,2h 54m,8.1,(293K)
Maharaja,2024,2h 21m,8.3,(84K)
Wild Strawberries,1957,1h 32m,8.1,(125K)
The Terminator,1984,1h 47m,8.1,(1M)
The Best Years of Our Lives,1946,2h 50m,8.1,(77K)
The Third Man,1949,1h 44m,8.1,(196K)
The Big Lebowski,1998,1h 57m,8.1,(919K)
Before Sunset,2004,1h 20m,8.1,(317K)
The Incredibles,2004,1h 55m,8.0,(907K)
Hachi: A Dog's Tale,2009,1h 33m,8.1,(345K)
Room,2015,1h 58m,8.1,(482K)
The Seventh Seal,1957,1h 36m,8.1,(216K)
Hotel Rwanda,2004,2h 1m,8.1,(393K)
Platoon,1986,2h,8.0,(474K)
The Exorcist,1973,2h 2m,8.1,(500K)
The Iron Giant,1999,1h 26m,8.1,(263K)
Rush,2013,2h 3m,8.1,(562K)
Stand by Me,1986,1h 29m,8.1,(490K)
The Wizard of Oz,1939,1h 42m,8.1,(470K)
The Battle of Algiers,1966,2h 1m,8.1,(76K)
My Father and My Son,2005,1h 52m,8.2,(101K)
The Passion of Joan of Arc,1928,1h 54m,8.1,(69K)
The Handmaiden,2016,2h 25m,8.1,(206K)
Drishyam,2013,2h 40m,8.4,(49K)
Lost Ladies,2023,2h 2m,8.3,(61K)
Autumn Sonata,1978,1h 39m,8.1,(43K)
