Income,Age,Churn
40070.53,36.31,0
34432.98,29.07,0
269072.45,38.1,0
84654.56,22.0,1
20544.5,38.98,0
130912.25,43.5,1
364372.73,18.06,0
144306.58,39.37,1
16492.08,47.05,0
39755.4,25.11,1
176129.42,51.05,0
32878.72,39.77,0
87495.82,29.65,0
115906.46,35.5,1
27288.18,41.02,1
57039.73,36.68,1
15000.0,40.85,1
25118.76,27.71,1
48407.83,37.52,1
20774.55,23.28,0
240301.45,35.0,0
17791.56,27.86,0
41277.05,29.38,1
67052.38,47.12,1
204266.77,45.82,1
17705.26,41.48,1
161262.55,26.17,1
60524.16,33.15,1
26051.16,46.92,1
88866.26,37.28,0
71061.47,56.87,1
36023.09,39.54,1
63667.63,37.73,1
43242.68,33.22,1
66077.9,37.2,0
105336.04,34.63,0
231009.5,42.37,1
20951.31,44.61,1
367757.2,28.93,0
15000.0,24.02,1
52737.52,19.47,0
98930.16,40.57,1
76186.76,26.07,1
35341.22,18.0,1
50271.62,39.5,1
39460.25,58.44,1
36356.92,35.95,1
123532.76,43.55,1
81272.5,36.74,1
33293.81,35.11,1
128895.82,44.27,1
77909.6,33.39,1
119734.57,38.41,1
102465.8,38.9,0
29657.02,29.99,1
37270.07,44.93,1
113243.93,34.43,1
100802.11,29.2,0
58943.43,40.83,0
66292.24,27.91,1
177746.74,36.25,0
36288.79,35.92,1
95523.98,45.77,1
50525.63,40.27,1
49864.81,35.77,1
152673.99,43.36,1
121019.11,48.51,1
119800.49,41.02,1
181999.06,36.09,0
61080.82,24.19,1
107125.88,26.41,1
46091.01,33.25,0
79034.62,30.51,1
53716.65,34.32,1
65156.44,36.51,1
99507.0,40.77,0
29929.87,35.37,1
355268.47,40.38,1
25514.06,36.58,1
21376.33,18.22,0
160571.42,27.55,0
117596.33,34.7,1
101987.11,25.11,1
102354.09,41.4,1
59378.65,49.78,1
27985.27,46.97,1
63993.3,34.08,0
33742.46,49.42,1
137441.22,37.34,1
52949.88,32.97,1
29745.32,30.48,1
45657.44,33.28,1
85228.54,32.51,1
37157.99,37.53,1
29828.29,37.45,1
73808.85,36.03,0
73889.16,39.93,0
38995.37,46.72,1
40203.82,44.55,0
73082.36,22.64,1
17522.27,18.0,0
18137.84,44.41,0
32578.97,23.7,1
50044.59,33.98,1
78148.9,25.47,1
210271.04,19.78,1
124381.72,40.87,1
52373.29,42.83,1
59037.97,30.81,1
25589.82,18.0,0
59063.22,31.08,0
46945.38,39.53,1
78937.42,22.69,0
29701.52,37.65,1
93297.11,35.86,1
220781.3,41.21,0
54701.9,37.08,1
84419.59,27.24,1
107874.33,46.77,1
42661.94,34.57,1
72589.71,35.75,1
60645.66,27.6,0
65194.12,32.01,0
31102.44,28.04,0
61263.13,34.44,1
91619.41,51.41,1
205987.74,23.65,0
135602.09,21.48,0
374109.92,49.24,1
31252.49,34.12,1
125941.45,29.98,1
70118.4,45.36,1
385938.12,30.55,0
30183.37,52.43,1
29387.84,42.1,0
36048.34,31.61,1
15000.0,55.42,1
38376.79,30.55,1
31471.48,42.68,1
68181.91,38.69,0
80225.16,47.72,1
295624.41,50.05,1
134586.19,36.29,1
36744.06,29.22,0
27957.68,40.14,0
91147.21,29.9,1
19533.8,54.12,1
284599.95,37.23,0
163509.1,32.71,1
40267.52,37.66,0
15000.0,23.88,1
189641.62,27.26,0
54433.82,46.8,0
171827.05,30.09,1
15472.76,26.58,1
36048.88,40.83,0
60268.03,46.67,1
62444.49,42.47,1
40926.96,44.96,1
101877.08,29.19,1
24212.46,23.2,0
53160.84,49.51,1
66459.71,33.1,1
92908.73,33.74,1
109861.14,47.95,1
23066.9,41.01,1
16286.68,40.1,1
177748.54,55.49,0
79583.87,30.21,1
31757.57,44.35,1
224263.96,36.51,0
66199.18,38.42,1
163489.24,49.76,1
63544.17,40.57,1
345841.4,40.84,0
266769.31,45.65,1
48556.35,32.72,1
137027.26,28.45,0
103846.53,26.6,0
192035.72,18.3,0
26421.01,54.51,1
107499.73,26.07,1
147526.14,34.01,1
15000.0,33.51,1
21945.78,38.77,1
15000.0,43.34,0
47719.91,43.74,1
110416.05,30.75,1
215152.71,34.5,1
63900.37,38.54,0
239527.39,33.76,0
18564.63,50.47,1
15000.0,40.42,1
57232.91,42.61,0
83162.81,41.97,1
58355.52,46.56,1
15000.0,37.63,1
55622.76,24.33,0
19797.3,39.6,1
106013.48,30.14,1
81937.2,31.24,1
26989.47,41.28,0
38766.55,47.14,1
24386.09,36.19,1
56887.03,38.78,1
135127.06,51.32,1
25957.94,38.17,1
92091.63,59.42,1
38230.19,41.09,0
30581.73,20.15,1
54782.39,42.78,1
24888.07,39.43,1
37477.57,47.61,1
21674.76,42.06,0
318735.28,34.75,1
61825.67,24.98,1
33101.48,34.12,1
71968.43,28.35,0
54536.26,30.78,1
49725.63,41.3,1
101127.92,51.03,0
114231.39,39.55,0
38222.28,25.24,1
36777.97,40.0,0
47491.49,46.77,1
15000.0,30.51,1
16550.76,34.79,1
191749.09,36.13,0
242879.91,28.94,1
48553.39,41.83,1
97946.16,34.91,1
78171.66,39.78,1
821714.7,28.01,0
155397.02,32.06,0
53818.36,42.5,1
26632.58,32.64,1
15315.5,51.54,1
71327.98,32.4,0
31545.99,38.02,0
17911.25,44.39,1
34631.29,23.23,1
23927.51,20.15,0
251744.57,22.27,0
126943.02,47.36,0
59594.77,31.03,1
211092.64,59.02,0
64078.42,30.92,1
28854.13,37.66,1
218984.3,49.88,0
94861.52,54.05,1
24845.72,54.55,1
51037.3,46.88,1
28504.7,45.22,1
18522.1,41.33,0
131840.85,43.01,1
304097.6,31.04,1
18275.51,28.64,0
96821.44,35.97,1
34511.7,34.47,1
39657.81,31.92,0
36263.43,42.27,1
28787.82,44.6,1
62526.34,36.8,0
29607.77,49.3,0
75507.57,25.72,1
57491.79,34.26,0
48971.51,29.55,0
27741.11,19.2,1
36748.19,35.26,0
114026.07,34.9,1
91847.0,49.62,1
26138.85,41.68,0
65285.96,26.78,0
113638.64,52.69,0
15000.0,46.99,1
95221.02,41.24,1
34162.02,33.96,0
97451.36,27.37,0
31361.29,32.65,1
15000.0,45.8,0
15043.31,52.96,1
62503.14,49.89,1
74821.76,31.6,1
27817.78,25.92,0
103249.48,37.27,1
15000.0,20.08,0
56722.83,38.91,1
21434.05,34.67,1
34476.7,31.81,1
62466.69,21.65,0
28875.49,40.62,1
43270.55,31.21,1
141131.69,25.47,0
36744.42,18.0,1
122080.77,35.75,1
22967.81,51.95,0
94130.12,50.95,1
204318.06,31.89,0
15000.0,30.58,1
30477.34,40.22,1
97989.06,27.01,1
50489.02,38.72,1
82254.54,42.89,1
35907.89,47.04,1
64582.66,35.1,0
52563.34,34.17,1
161896.84,28.1,1
74485.34,28.56,1
79942.44,33.96,0
42277.25,39.31,1
39641.61,44.22,0
41540.55,28.77,1
83900.27,49.43,1
41951.23,33.56,1
76757.66,35.81,1
350175.77,29.28,1
125813.49,18.0,0
45477.81,43.96,1
166563.46,42.63,0
42414.08,33.47,1
15000.0,36.6,1
25469.23,40.64,1
15000.0,21.94,1
44503.07,31.24,1
60946.73,43.15,1
249464.41,24.71,0
79220.32,38.64,1
49804.69,23.79,1
121430.16,40.2,1
15000.0,35.68,0
73304.13,21.46,1
115535.75,46.48,1
17073.82,29.39,1
158623.82,28.71,1
80003.19,37.81,1
42154.85,46.34,1
102740.78,26.86,0
413407.38,36.56,1
70030.5,39.86,0
74093.82,42.24,1
40604.86,37.59,1
29136.07,32.7,1
121526.22,28.55,0
28981.95,36.78,1
63763.18,26.35,1
39978.26,18.0,1
90150.22,39.93,0
79675.12,44.14,0
144930.38,18.0,1
38893.64,26.91,0
47700.93,41.57,1
26112.01,54.52,1
41128.25,36.19,1
82685.97,29.45,1
114181.0,34.35,0
27398.93,48.37,1
125651.17,30.19,1
189926.42,28.81,0
85265.02,31.66,0
295781.5,27.42,0
31081.84,37.1,1
20829.87,50.62,0
15000.0,38.91,1
214001.33,33.73,1
104643.09,33.37,1
57231.11,21.93,1
76120.52,43.95,1
23050.3,35.3,1
479734.94,34.38,1
66965.84,64.74,1
65846.75,38.69,1
111190.64,29.23,1
90305.87,32.16,1
72576.85,46.34,0
30644.13,37.02,1
89576.47,23.06,0
297098.99,44.27,1
188284.03,29.99,1
232421.65,52.86,1
38854.01,45.72,1
25872.5,31.97,1
53915.91,47.53,1
62910.35,36.61,0
152080.1,43.67,1
15000.0,40.36,1
220183.73,28.38,0
52459.31,30.21,1
41741.49,45.27,1
25382.4,32.99,1
15000.0,32.37,1
120788.32,27.4,0
63858.19,39.81,1
20042.96,54.56,0
19955.96,26.39,0
45102.04,36.22,1
247896.88,48.71,1
48119.71,35.28,1
16721.13,40.07,0
48689.48,26.44,0
47585.57,39.85,0
15000.0,34.32,1
57293.89,44.87,0
49306.22,46.69,1
108431.64,59.31,1
288864.36,41.22,1
156323.07,38.93,1
47740.93,37.75,0
23424.85,32.82,1
534697.09,39.05,1
63097.44,33.34,1
60714.62,37.52,1
58782.15,47.86,1
71002.61,26.94,1
53071.4,46.26,1
36845.44,47.85,0
37694.51,34.94,1
58352.62,18.0,0
37804.7,30.53,1
32734.37,47.67,1
65681.04,35.79,0
48308.81,27.01,0
215452.1,31.46,1
15000.0,43.57,0
151733.45,40.92,0
173039.0,33.85,0
15000.0,32.7,1
44838.18,32.47,1
43755.61,27.7,1
18137.1,50.54,1
30975.62,33.1,0
23344.35,46.95,1
266073.99,49.69,0
132909.87,44.98,1
176826.03,32.12,1
110804.33,39.63,1
22980.6,35.78,1
38417.09,27.87,1
90950.28,38.92,1
21232.56,25.39,1
109990.42,46.69,1
48914.21,31.82,0
43630.08,37.81,1
109800.0,38.55,1
87528.84,33.67,1
44146.93,41.28,1
160737.87,31.73,0
23937.37,43.84,1
101280.09,23.89,0
99333.28,37.14,1
46119.23,53.45,1
79166.85,27.0,1
20715.83,29.9,1
131600.07,40.63,1
51273.69,37.62,1
38475.82,39.16,1
146350.2,40.4,1
32971.79,41.71,1
18122.47,45.99,1
15977.95,39.69,1
100429.2,33.83,1
20206.0,42.05,1
266645.38,53.1,0
15000.0,34.81,1
253745.67,27.23,1
71787.43,45.96,1
55264.92,34.92,1
37756.71,18.0,1
84234.98,43.63,0
58111.01,31.18,1
153262.35,35.19,1
66117.8,38.99,1
68176.58,37.71,1
44047.75,42.39,0
57164.94,32.08,1
77942.87,40.62,1
15000.0,33.66,1
19075.16,42.65,0
112856.72,41.54,1
69378.72,27.58,1
51313.75,45.77,0
60947.53,31.18,1
80623.41,43.27,1
37922.66,39.31,1
30962.77,52.54,1
70867.58,33.99,1
26120.69,32.86,1
84890.26,35.83,1
15000.0,33.27,1
143901.19,43.2,1
89662.48,21.45,1
74587.27,26.52,1
138328.58,26.39,1
247150.59,44.55,1
142103.99,51.4,1
15000.0,35.06,1
20220.65,34.48,1
35277.62,36.63,1
61345.51,46.46,1
93163.38,27.65,0
32377.45,38.15,1
70322.82,44.78,1
31571.95,40.51,0
35678.72,37.71,0
18150.22,45.01,1
27374.07,18.0,1
19018.51,42.1,1
26176.24,30.11,1
146927.62,19.52,1
26771.97,40.6,1
562206.55,48.36,1
91255.64,34.76,0
70207.51,44.58,0
28925.99,50.51,0
108810.51,47.83,1
36783.61,50.76,1
66556.61,42.68,1
528697.49,36.68,1
55295.62,21.58,1
159369.74,33.79,1
33004.52,28.41,1
58241.86,55.54,1
270298.01,34.42,0
35213.25,37.11,1
280038.15,40.96,0
109501.0,36.39,1
37197.73,51.26,0
102708.12,30.4,0
137141.86,37.75,0
101787.06,29.32,0
15794.37,24.12,1
32339.13,30.49,0
48616.05,35.67,1
56321.49,32.14,0
101688.67,29.77,1
69783.0,23.34,0
19284.5,35.25,0
82889.86,22.46,1
100820.57,42.84,0
96560.18,36.74,1
150356.36,22.88,0
121897.24,33.22,1
88645.71,29.23,1
56526.17,38.87,1
15000.0,48.06,1
86446.01,19.12,1
71584.54,37.04,1
75579.61,34.56,1
20269.32,42.04,1
23937.51,37.92,1
146866.57,29.23,0
58016.22,33.13,1
107084.7,28.84,0
61461.76,45.68,1
61536.92,36.19,0
133204.53,53.11,0
38694.85,35.45,1
65107.99,29.62,0
40504.4,22.38,1
41472.18,19.77,0
46133.91,21.74,0
72468.96,38.4,0
39941.19,40.58,1
174467.29,21.77,1
28048.31,44.06,1
51187.93,31.65,1
41288.05,37.32,1
205259.65,50.51,1
70910.33,44.07,1
144230.46,33.58,1
16972.9,27.98,0
75289.24,18.0,1
127808.2,29.53,0
64346.72,34.1,0
148413.59,27.12,0
38653.97,34.82,1
198798.13,36.69,1
423438.37,33.98,1
44076.72,30.15,1
41086.0,37.52,1
206380.46,39.98,1
229747.5,26.19,1
38471.34,48.7,1
41979.68,35.11,1
47220.48,36.17,1
19135.81,42.37,0
27480.88,38.1,0
25554.79,44.58,1
31240.54,38.58,0
58256.89,30.49,1
73216.96,39.25,0
224139.8,25.71,1
25680.8,36.98,1
138520.54,35.7,0
50021.56,34.13,1
57529.65,34.84,0
106478.29,19.06,0
23104.58,31.06,1
83045.85,36.84,1
69118.95,37.44,1
91188.44,26.75,0
76718.12,47.39,0
483644.28,28.2,0
34892.28,44.73,1
38206.17,39.84,0
35327.97,30.18,1
37419.39,51.98,1
34902.75,25.26,0
164845.49,44.27,1
200692.36,45.01,0
36936.87,29.96,1
29572.42,48.53,1
89572.45,33.75,0
37523.03,38.6,1
102753.88,38.34,1
71295.21,34.79,1
16542.98,43.3,1
223569.87,43.14,1
276121.39,20.26,0
35640.2,47.74,1
43155.0,21.04,0
76503.01,45.29,0
79728.96,46.14,0
105015.42,26.18,1
331298.05,32.3,0
51621.56,26.05,0
30441.05,34.07,1
18576.98,33.23,0
32235.04,43.02,0
58334.09,47.79,1
275811.8,48.56,1
38643.36,30.94,0
72570.92,34.12,0
59168.25,20.85,1
164758.18,28.75,1
514007.12,44.68,1
38210.34,50.54,0
39579.89,24.89,0
145748.32,30.67,1
107120.28,35.76,0
288312.74,38.52,0
98561.78,28.71,1
44209.79,39.82,0
99126.93,31.74,1
153967.66,35.87,1
120512.61,40.92,1
92344.62,36.06,0
148564.33,32.07,1
162105.25,35.01,0
194256.55,35.2,1
104141.23,32.67,1
52054.65,33.67,0
67968.96,50.39,0
167314.82,41.05,1
29962.58,33.34,1
82081.85,42.27,1
42948.71,33.0,1
61484.04,46.56,1
177865.68,39.33,1
70582.26,35.03,1
62415.62,40.03,1
18886.87,21.86,0
113143.86,25.86,0
103856.08,25.25,0
377326.58,37.29,1
46188.6,51.59,1
72285.41,56.08,1
74167.1,41.74,1
229334.09,40.51,1
55331.55,19.79,1
76059.27,31.12,0
100590.38,28.91,1
70313.39,30.41,0
41053.5,34.49,1
70761.92,31.75,1
149445.47,18.19,0
25073.38,42.73,1
67179.54,26.35,1
33090.36,38.15,1
165692.59,54.67,0
16438.66,27.73,0
37309.99,18.0,0
82679.75,33.43,1
227020.42,45.91,1
56738.72,53.63,1
37428.22,24.93,1
296880.02,40.47,1
17523.32,31.81,1
15000.0,35.05,1
87213.3,59.8,1
39157.75,22.47,1
25186.21,38.28,1
109557.28,40.21,1
73815.97,45.77,1
37146.8,36.88,1
20208.15,38.77,1
125956.08,32.48,0
104273.32,38.42,1
55149.36,32.91,1
288295.5,41.59,1
24161.79,32.67,1
16406.02,39.39,1
33322.16,35.74,1
57719.58,46.13,1
73787.04,35.54,0
48876.36,20.04,1
80930.57,47.36,1
20708.33,27.85,0
204699.79,30.12,0
55953.22,30.64,0
155096.27,48.37,1
80291.29,18.0,1
88463.04,64.24,0
97382.52,45.5,1
87785.54,38.01,1
103612.6,35.51,1
185698.47,38.57,0
70908.3,40.69,1
109617.58,41.81,1
55593.66,41.0,1
204066.15,36.81,1
33764.54,34.22,1
277312.2,34.64,0
57986.5,34.25,0
17781.98,46.2,1
66902.3,41.34,0
33631.08,18.0,0
122595.65,41.9,0
34453.62,37.75,1
41062.23,35.83,1
15000.0,32.5,1
40849.08,46.12,1
15000.0,44.53,1
15611.8,29.04,1
114513.99,39.66,1
117011.79,27.26,1
86140.83,23.58,1
26374.95,30.36,1
57615.4,43.76,1
59816.55,44.58,1
22415.09,40.62,0
215343.22,42.53,1
126482.32,40.65,1
49725.85,30.23,0
61386.97,39.89,0
71626.85,43.2,1
15000.0,42.79,1
48630.15,46.7,1
33604.43,42.37,1
25609.61,39.16,1
47247.95,45.63,1
276546.26,35.76,1
103447.16,28.06,0
36923.29,34.53,1
97615.85,29.3,1
